Data,Price,Open,Max,Min
01.12.2008,903.2,888.6,918.9,815.7
01.11.2008,896.2,968.7,1007.5,741
01.10.2008,968.8,1164.2,1167,839.8
01.09.2008,1166.4,1287.8,1303,1106.4
01.08.2008,1282.8,1269.4,1313.2,1247.5
01.07.2008,1267.4,1276.7,1292.2,1200.4
01.06.2008,1280,1399.6,1404,1272
01.05.2008,1400.4,1386,1440.2,1373.1
01.04.2008,1385.6,1326.4,1404.6,1324.3
01.03.2008,1322.7,1330.5,1359.7,1257
01.02.2008,1330.6,1378.6,1396,1316.8
01.01.2008,1378.5,1468,1471.8,1270
01.12.2007,1468.4,1479.6,1523.6,1435.7
01.11.2007,1481.1,1545.8,1545.8,1406.1
01.10.2007,1549.4,1527.3,1576.1,1489.6
01.09.2007,1526.8,1474,1538.7,1439.3
01.08.2007,1474,1455.2,1503.9,1370.6
01.07.2007,1455.3,1504.7,1555.9,1454.2
01.06.2007,1503.3,1530.6,1540.6,1484.2
01.05.2007,1530.6,1482.4,1535.6,1476.7
01.04.2007,1482.4,1420.8,1498,1416.4
01.03.2007,1420.9,1406.8,1438.9,1364
01.02.2007,1406.8,1437.9,1461.6,1389.4
01.01.2007,1438.2,1418,1441.6,1404
01.12.2006,1418.3,1400.6,1431.8,1385.9
01.11.2006,1400.6,1377.8,1407.9,1361
01.10.2006,1377.9,1335.8,1389.5,1327.1
01.09.2006,1335.8,1303.8,1340.3,1290.9
01.08.2006,1303.8,1278.5,1306.7,1261.3
01.07.2006,1276.7,1270.1,1280.4,1224.5
01.06.2006,1270.2,1270,1290.7,1219.3
01.05.2006,1270.1,1310.6,1326.7,1245.3
01.04.2006,1310.6,1302.9,1318.2,1280.7
01.03.2006,1294.8,1280.7,1310.9,1268.4
01.02.2006,1280.7,1280.1,1297.6,1253.6
01.01.2006,1280.1,1248.3,1294.9,1245.7
01.12.2005,1248.3,1249.5,1275.8,1246.6
01.11.2005,1249.5,1207,1270.6,1201.1
01.10.2005,1207,1228.8,1233.3,1168.2
01.09.2005,1228.8,1220.3,1243.1,1205.3
01.08.2005,1220.3,1234.2,1245.9,1201.1
01.07.2005,1234.2,1191.3,1245.2,1183.5
01.06.2005,1191.3,1191.5,1219.6,1188.3
01.05.2005,1191.5,1156.8,1199.6,1146.2
01.04.2005,1156.8,1180.6,1191.9,1136.2
01.03.2005,1180.6,1203.6,1229.1,1163.7
01.02.2005,1203.6,1181.3,1212.4,1181
01.01.2005,1181.3,1211.9,1217.9,1163.8
01.12.2004,1211.9,1173.8,1217.3,1173.8
01.11.2004,1173.8,1130.2,1188.5,1127.5
01.10.2004,1130.2,1114.6,1142,1090.2
01.09.2004,1114.6,1104.2,1131.5,1099.1
01.08.2004,1104.2,1101.7,1109.7,1060.7
01.07.2004,1101.7,1140.8,1140.8,1078.8
01.06.2004,1140.8,1120.7,1146.3,1113.3
01.05.2004,1120.7,1107.3,1127.7,1076.3
01.04.2004,1107.3,1126.2,1150.6,1107.2
01.03.2004,1126.2,1144.9,1163.2,1087.1
01.02.2004,1144.9,1131.1,1159,1124.4
01.01.2004,1131.1,1111.9,1155.4,1105.1
01.12.2003,1111.9,1058.2,1112.6,1053.4
01.11.2003,1058.2,1050.7,1063.7,1031.2
01.10.2003,1050.7,996,1053.8,996
01.09.2003,996,1008,1040.3,990.4
01.08.2003,1008,990.3,1011,960.8
01.07.2003,990.3,974.5,1015.4,962.1
01.06.2003,974.5,963.6,1015.3,963.6
01.05.2003,963.6,916.9,965.4,902.8
01.04.2003,916.9,848.2,924.2,847.9
01.03.2003,848.2,841.1,895.9,788.9
01.02.2003,841.1,855.7,864.6,806.3
01.01.2003,855.7,879.8,935,840.3
01.12.2002,879.8,936.3,954.3,869.5
01.11.2002,936.3,885.8,941.8,872
01.10.2002,885.8,815.3,907.4,768.6
01.09.2002,815.3,916.1,924,800.2
01.08.2002,916.1,911.6,965,833.4
01.07.2002,911.6,989.8,994.5,775.7
01.06.2002,989.8,1067.1,1070.7,952.9
01.05.2002,1067.1,1076.9,1106.6,1049
01.04.2002,1076.9,1146,1147.8,1063.5
01.03.2002,1147.4,1108.7,1173.9,1108.7
01.02.2002,1106.7,1127.4,1130.2,1074.4
01.01.2002,1130.2,1149,1177,1081.7
01.12.2001,1148.1,1139.5,1173.6,1114.5
01.11.2001,1139.5,1063.1,1163.4,1054.3
01.10.2001,1059.8,1037.9,1110.6,1026.8
01.09.2001,1040.9,1133.6,1155.4,944.8
01.08.2001,1133.6,1211.2,1226.3,1124.9
01.07.2001,1211.2,1224.4,1239.8,1165.5
01.06.2001,1224.4,1255.8,1286.6,1203
01.05.2001,1255.8,1249.5,1315.9,1232
01.04.2001,1249.5,1160.3,1269.3,1092
01.03.2001,1160.3,1239.9,1267.4,1081.2
01.02.2001,1239.9,1366,1376.4,1215.4
01.01.2001,1366,1320.3,1383.4,1274.6
01.12.2000,1320.3,1315,1389,1254.1
01.11.2000,1315,1429.4,1438.5,1294.9
01.10.2000,1429.4,1436.5,1454.8,1305.8
01.09.2000,1436.5,1517.7,1530,1419.5
01.08.2000,1517.7,1430.8,1525.3,1426
01.07.2000,1430.8,1454.6,1517.2,1414.2
01.06.2000,1454.6,1420.6,1489,1420.6
01.05.2000,1420.6,1452.4,1481.4,1361.2
01.04.2000,1452.4,1498.6,1527.1,1339.4
01.03.2000,1498.6,1366.4,1553.1,1346.5
01.02.2000,1366.4,1394.5,1444.4,1325
01.01.2000,1394.5,1469.2,1478,1350
01.12.1999,1469.2,1388.9,1473.1,1387.5
01.11.1999,1388.9,1362.9,1425.3,1346.4
01.10.1999,1362.9,1282.7,1373.2,1233.7
01.09.1999,1282.7,1320.4,1361.3,1256.3
01.08.1999,1320.4,1328.7,1382.8,1267.7
01.07.1999,1328.7,1372.7,1420.3,1328.5
01.06.1999,1372.7,1301.8,1372.9,1277.5
01.05.1999,1301.8,1335.2,1376,1277.3
01.04.1999,1335.2,1286.4,1371.6,1282.6
01.03.1999,1286.4,1238.3,1323.8,1216
01.02.1999,1238.3,1279.6,1283.8,1211.9
01.01.1999,1279.6,1229.2,1280.4,1205.5
01.12.1998,1229.2,1163.6,1244.9,1136.9
01.11.1998,1163.6,1098.7,1193,1098.7
01.10.1998,1098.7,1017,1103.8,923.3
01.09.1998,1017,957.3,1066.1,940
01.08.1998,957.3,1120.7,1121.8,957.3
01.07.1998,1120.7,1133.8,1190.6,1114.3
01.06.1998,1133.8,1090.8,1145.2,1074.7
01.05.1998,1090.8,1111.8,1130.5,1074.4
01.04.1998,1111.8,1101.8,1133,1076.7
01.03.1998,1101.8,1049.3,1113.1,1030.9
01.02.1998,1049.3,980.3,1051.7,980.3
01.01.1998,980.3,970.4,992.6,912.8
01.12.1997,970.4,955.4,986.2,924.9
01.11.1997,955.4,914.6,964.5,900.6
01.10.1997,914.6,950.9,983.1,855.3
01.09.1997,947.3,899.5,960.6,899.5
01.08.1997,899.5,954.3,964.2,893.3
01.07.1997,954.3,885.1,957.7,884.5
01.06.1997,885.1,848.3,902.1,838.8
01.05.1997,848.3,801.3,851.9,793.2
01.04.1997,801.3,757.1,804.1,733.5
01.03.1997,757.1,790.8,814.9,756.1
01.02.1997,790.8,786.2,817.7,773.4
01.01.1997,786.2,740.7,794.7,729.5
01.12.1996,740.7,757,761.8,716.7
01.11.1996,757,705.3,762.1,701.3
01.10.1996,705.3,687.3,714.1,684.4
01.09.1996,687.3,652,690.9,644
01.08.1996,652,640,670.7,639.5
01.07.1996,640,670.6,675.9,605.9
01.06.1996,670.6,669.1,680.3,658.8
01.05.1996,669.1,654.2,681.1,630.1
01.04.1996,654.2,645.5,656.7,624.1
01.03.1996,645.5,640.4,657,627.6
01.02.1996,640.4,636,664.2,633.7
01.01.1996,636,615.9,636.2,597.3
01.12.1995,615.9,605.4,622.9,605
01.11.1995,605.4,581.5,608.7,581
01.10.1995,581.5,584.4,590.7,571.5
01.09.1995,584.4,561.9,587.6,561
01.08.1995,561.9,562.1,565.6,553
01.07.1995,562.1,544.8,565.4,542.5
01.06.1995,544.8,533.4,551.1,526
01.05.1995,533.4,514.8,533.4,513
01.04.1995,514.7,500.7,515.3,500.2
01.03.1995,500.7,487.4,508.1,479.7
01.02.1995,487.4,470.4,489.2,469.3
