Data,Price,Open,Max,Min
12.06.2024,5421.03,5409.13,5447.25,5409.13
11.06.2024,5375.32,5353,5375.95,5327.25
10.06.2024,5360.79,5341.22,5365.79,5331.52
07.06.2024,5346.99,5343.81,5375.08,5331.33
06.06.2024,5352.96,5357.8,5362.35,5335.36
05.06.2024,5354.03,5314.48,5354.16,5297.64
04.06.2024,5291.34,5278.24,5298.8,5257.63
03.06.2024,5283.4,5297.15,5302.11,5234.32
31.05.2024,5277.51,5243.21,5280.33,5191.68
30.05.2024,5235.48,5259.77,5260.21,5222.1
29.05.2024,5266.95,5278.73,5282.27,5262.7
28.05.2024,5306.04,5315.91,5315.91,5280.89
